"_id"	"store_address"	"loc_point"
"59ed603d7f686f2ea1432ed1"	"{ ""detail"" : ""里仁洞村朝阳大街南二巷"" }"	"{ ""lat"" : 22.9965625781537, ""lng"" : 113.35645933858 }"
"59ee253dc87a26484a478996"	"{ ""detail"" : ""万达广场B2 1806"" }"	"{ ""lng"" : 113.355818972514, ""lat"" : 23.0128140125014 }"
"59eedd0bc87a2654fc302556"	"{ ""detail"" : ""花样年华二期花岸西街130号"" }"	"{ ""lat"" : 22.7856190074627, ""lng"" : 113.390745869561 }"
"59f2dad47f686f558d4bf547"	"{ ""detail"" : ""员岗大道东8"" }"	"{ ""lng"" : 113.371369918277, ""lat"" : 23.0226060150886 }"
"59f965a8c87a264988464a5d"	"{ ""detail"" : ""11111"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"59fac38dc87a26483e70a6fb"	"{ ""detail"" : ""钟村长华创意谷18栋07B"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"59fae8bac87a264d42202952"	"{ ""detail"" : ""钟村街道钟福广场2层2街43号之一"" }"	"{ ""lat"" : 22.9736116328777, ""lng"" : 113.329590848311 }"
"59faf5d9c87a26547a342664"	"{ ""detail"" : ""祈福新村，晋福路58号"" }"	"{ ""lng"" : ""113.327690000000"", ""lat"" : ""22.969560000000"" }"
"59fc1a22c87a264d422029fb"	"{ ""detail"" : ""德贤路811号"" }"	"{ ""lng"" : 113.364913047392, ""lat"" : 22.9196143673613 }"
"5a018452c87a2654f85dc384"	"{ ""detail"" : ""南村镇雅居乐商业街四区101"" }"	"{ ""lng"" : ""113.367910000000"", ""lat"" : ""23.015160000000"" }"
"5a057750c87a26528660ec58"	"{ ""detail"" : ""总统大厦1114"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"5a0c4f4dc87a2648561a4ac2"	"{ ""detail"" : ""兴南大道瀚澜一街13号商铺101房"" }"	"{ ""lat"" : 23.0256696000139, ""lng"" : 113.393221449529 }"
"5a12705dc87a261ffe07fa2d"	"{ ""detail"" : ""大石建设南路162号之五号铺"" }"	"{ ""lat"" : 22.8856664637039, ""lng"" : 113.285944907257 }"
"5a16b632c87a26483a47d7b2"	"{ ""detail"" : ""祈福新村祈福名都商业街156号"" }"	"{ ""lat"" : 23.1113986170609, ""lng"" : 113.475602316973 }"
"5a1d50dbd6d3954c8c4376d4"	"{ ""detail"" : ""永旺梦乐城"" }"	"{ ""lng"" : ""113.39455025268"", ""lat"" : ""22.943376503853"" }"
"5a21e921c87a264b57526705"	"{ ""detail"" : ""大石街道105国道639号3号楼"" }"	"{ ""lat"" : 23.0221552211477, ""lng"" : 113.320215891266 }"
"5a254c1bc87a2649884661fe"	"{ ""detail"" : ""大石街敏昌街敏捷华美国际5栋103房"" }"	"{ ""lat"" : 23.0158726883221, ""lng"" : 113.333402634368 }"
"5a2f9edcc87a2617973b71da"	"{ ""detail"" : ""南村镇元岗大道7号小镇G105"" }"	"{ ""lat"" : 23.0099986101924, ""lng"" : 113.383852065572 }"
"5a327e8ac87a26483e70c5b2"	"{ ""detail"" : ""丽江花园丽波楼c14铺"" }"	"{ ""lat"" : 23.0415499616961, ""lng"" : 113.308918732006 }"
"5a360a96c87a26483c71f7ab"	"{ ""detail"" : ""番禺区大石街道大山村镇北大街10号之一"" }"	"{ ""lat"" : 23.0738019643906, ""lng"" : 113.318836812647 }"
"5a449fb9d6d3950caa319abc"	"{ ""detail"" : ""汉溪大道南国奥园北一路三区13座1梯604"" }"	"{ ""lng"" : 113.390469580431, ""lat"" : 22.9438307315176 }"
"5a4b5861d6d395323651da9d"	"{ ""detail"" : ""七号小镇"" }"	"{ ""lat"" : 22.9345907957979, ""lng"" : 113.416799529649 }"
"5a56c633d6d39532380079bc"	"{ ""detail"" : ""钟村白山路18栋07b"" }"	"{ ""lng"" : 113.31807262415, ""lat"" : 22.9805811204075 }"
"5a5c0732d6d3950caf5bfe84"	"{ ""detail"" : ""桥南南堤西路589号"" }"	"{ ""lng"" : ""113.360748"", ""lat"" : ""22.932486"" }"
"5a5d513cd6d39532950cc187"	"{ ""detail"" : ""员岗"" }"	"{ ""lng"" : ""113.36830013257"", ""lat"" : ""23.021844490867"" }"
"5a5db858d6d3953238007da6"	"{ ""detail"" : ""市桥长堤西路欣悦宠物医院"" }"	"{ ""lat"" : 22.9370044237113, ""lng"" : 113.367266888099 }"
"5a5dd13ad6d395328f7b1343"	"{ ""detail"" : ""市桥光明南路144号"" }"	"{ ""lat"" : 22.9436389859391, ""lng"" : 113.36940084338 }"
